Funktionsname,CPU Zeit (Sekunden),Reale Zeit (Sekunden),Speicherverbrauch (MB)
TimeDatenvorbereitung,38.108080913,38.256715297698975,4513.53125
BaumDatenvorbereitung,1.0889171170000012,1.126549482345581,1786.78515625
BaumModell,3.0068224950000015,3.040875196456909,1598.2265625
BaumVorhersagen,0.11827637300000049,0.15856170654296875,1598.2265625
MLPDatenvorbereitung,1.3943426220000035,1.4348225593566895,2204.9765625
MLPModell,661.240853209,243.7901394367218,1911.37890625
MLPVorhersagen,0.5163674820000779,0.4863698482513428,1911.5
